period,pred_count,blue_matches,red0,red1,red2,red3,red4,red5,red6
7551,200,6,45,85,50,18,2,0,0
7552,200,10,54,82,51,13,0,0,0
7553,200,0,50,91,50,9,0,0,0
7554,200,16,48,85,55,12,0,0,0
7555,200,13,54,82,51,10,3,0,0
7556,200,11,54,93,43,9,1,0,0
7557,200,15,52,83,53,12,0,0,0
7558,200,16,52,90,46,10,1,1,0
7559,200,13,55,85,48,11,1,0,0
7560,200,0,47,89,52,11,1,0,0
7561,200,5,52,83,48,16,1,0,0
7562,200,13,45,88,53,12,2,0,0
7563,200,5,59,95,41,4,1,0,0
7564,200,4,40,90,53,17,0,0,0
7565,200,20,39,86,56,16,3,0,0
7566,200,9,76,74,42,7,1,0,0
7567,200,20,52,96,45,7,0,0,0
7568,200,9,67,86,36,10,1,0,0
7569,200,10,53,88,51,8,0,0,0
7570,200,21,56,92,46,6,0,0,0
7571,200,10,45,88,52,14,1,0,0
7572,200,8,56,99,41,4,0,0,0
7573,200,21,64,74,51,11,0,0,0
7574,200,7,68,90,34,8,0,0,0
7575,200,13,53,88,49,10,0,0,0
7576,200,18,54,90,46,10,0,0,0
7577,200,13,51,93,48,7,1,0,0
7578,200,18,40,95,55,9,1,0,0
7579,200,11,50,86,45,19,0,0,0
7580,200,10,62,85,48,5,0,0,0
7581,200,6,42,87,57,14,0,0,0
7582,200,8,47,84,54,13,2,0,0
7583,200,13,55,86,48,11,0,0,0
7584,200,7,58,87,45,9,1,0,0
7585,200,14,51,83,53,13,0,0,0
7586,200,14,53,82,51,14,0,0,0
7587,200,7,59,93,39,8,1,0,0
7588,200,6,53,97,37,13,0,0,0
7589,200,12,66,88,41,5,0,0,0
7590,200,8,42,76,70,12,0,0,0
7591,200,15,70,74,47,8,1,0,0
7592,200,19,51,86,50,13,0,0,0
7593,200,21,50,92,46,12,0,0,0
7594,200,12,62,88,41,9,0,0,0
7595,200,28,47,90,42,21,0,0,0
7596,200,12,39,95,55,10,1,0,0
7597,200,26,59,84,49,6,2,0,0
7598,200,10,46,89,56,9,0,0,0
7599,200,8,67,79,40,13,1,0,0
7600,200,15,44,91,55,10,0,0,0

aggregate_total_predictions,10000
periods_evaluated,50
aggregate_blue_matches,606
agg_red_matches_0,2654
agg_red_matches_1,4362
agg_red_matches_2,2415
agg_red_matches_3,538
agg_red_matches_4,30
agg_red_matches_5,1
agg_red_matches_6,0
