period,pred_count,blue_matches,red0,red1,red2,red3,red4,red5,red6
7551,200,14,54,89,48,7,2,0,0
7552,200,19,49,78,65,6,2,0,0
7553,200,0,53,91,48,7,1,0,0
7554,200,9,58,87,46,8,1,0,0
7555,200,11,45,101,40,12,2,0,0
7556,200,9,65,81,46,8,0,0,0
7557,200,16,42,83,66,8,1,0,0
7558,200,21,47,88,56,9,0,0,0
7559,200,15,54,86,47,12,1,0,0
7560,200,0,64,82,42,12,0,0,0
7561,200,16,59,74,51,16,0,0,0
7562,200,15,56,86,45,11,2,0,0
7563,200,16,55,93,39,13,0,0,0
7564,200,11,48,84,55,12,1,0,0
7565,200,14,61,80,48,9,2,0,0
7566,200,17,43,95,51,10,1,0,0
7567,200,15,41,93,51,14,1,0,0
7568,200,18,52,80,55,13,0,0,0
7569,200,13,56,82,53,9,0,0,0
7570,200,19,47,95,44,12,2,0,0
7571,200,15,54,90,46,10,0,0,0
7572,200,12,51,94,46,9,0,0,0
7573,200,13,49,77,61,12,1,0,0
7574,200,10,51,86,52,11,0,0,0
7575,200,12,60,78,45,16,1,0,0
7576,200,12,48,77,67,7,0,1,0
7577,200,14,53,84,53,10,0,0,0
7578,200,13,56,94,37,11,2,0,0
7579,200,10,50,93,43,13,1,0,0
7580,200,10,63,91,35,11,0,0,0
7581,200,20,58,93,41,8,0,0,0
7582,200,13,54,88,44,14,0,0,0
7583,200,17,65,95,35,4,1,0,0
7584,200,7,55,88,49,6,2,0,0
7585,200,9,46,98,42,13,1,0,0
7586,200,15,58,84,47,11,0,0,0
7587,200,12,60,93,37,10,0,0,0
7588,200,14,56,80,49,14,1,0,0
7589,200,16,61,89,38,12,0,0,0
7590,200,10,44,81,58,16,1,0,0
7591,200,10,66,84,41,9,0,0,0
7592,200,16,47,94,48,8,3,0,0
7593,200,16,52,90,46,10,2,0,0
7594,200,10,64,90,40,6,0,0,0
7595,200,15,63,78,47,11,1,0,0
7596,200,19,50,80,58,11,1,0,0
7597,200,13,49,89,46,11,5,0,0
7598,200,11,51,94,44,9,2,0,0
7599,200,12,63,86,38,12,1,0,0
7600,200,9,49,100,49,2,0,0,0

aggregate_total_predictions,10000
periods_evaluated,50
aggregate_blue_matches,653
agg_red_matches_0,2695
agg_red_matches_1,4366
agg_red_matches_2,2378
agg_red_matches_3,515
agg_red_matches_4,45
agg_red_matches_5,1
agg_red_matches_6,0
