period,pred_count,blue_matches,red0,red1,red2,red3,red4,red5,red6
7551,200,6,54,87,44,15,0,0,0
7552,200,13,51,94,43,10,2,0,0
7553,200,0,47,105,40,8,0,0,0
7554,200,12,56,88,47,9,0,0,0
7555,200,12,60,85,42,13,0,0,0
7556,200,4,60,88,38,13,1,0,0
7557,200,9,61,87,45,7,0,0,0
7558,200,12,54,90,44,11,1,0,0
7559,200,13,50,102,44,4,0,0,0
7560,200,0,55,95,40,9,1,0,0
7561,200,8,63,82,44,11,0,0,0
7562,200,16,42,90,57,10,1,0,0
7563,200,2,52,79,57,11,1,0,0
7564,200,5,51,85,45,15,4,0,0
7565,200,18,49,91,47,13,0,0,0
7566,200,4,61,76,53,9,1,0,0
7567,200,16,56,88,48,8,0,0,0
7568,200,20,47,98,44,11,0,0,0
7569,200,10,58,80,52,9,1,0,0
7570,200,15,57,86,44,13,0,0,0
7571,200,14,52,89,50,9,0,0,0
7572,200,3,52,86,50,11,1,0,0
7573,200,20,57,88,40,14,1,0,0
7574,200,4,54,88,50,7,1,0,0
7575,200,11,54,96,41,8,1,0,0
7576,200,15,68,79,46,6,1,0,0
7577,200,20,48,93,53,6,0,0,0
7578,200,18,46,89,55,8,1,1,0
7579,200,5,59,84,52,4,1,0,0
7580,200,8,46,87,51,16,0,0,0
7581,200,12,47,94,48,11,0,0,0
7582,200,9,59,92,39,9,1,0,0
7583,200,17,52,91,48,8,1,0,0
7584,200,8,60,85,46,9,0,0,0
7585,200,25,53,93,44,9,1,0,0
7586,200,18,50,88,48,13,1,0,0
7587,200,6,52,90,41,16,1,0,0
7588,200,6,58,81,46,14,1,0,0
7589,200,12,63,83,40,14,0,0,0
7590,200,17,61,80,47,12,0,0,0
7591,200,13,53,96,36,14,1,0,0
7592,200,19,50,84,55,11,0,0,0
7593,200,24,45,87,56,10,2,0,0
7594,200,12,55,84,52,7,2,0,0
7595,200,20,47,84,62,7,0,0,0
7596,200,19,55,79,58,8,0,0,0
7597,200,21,55,89,52,4,0,0,0
7598,200,9,53,78,49,20,0,0,0
7599,200,9,59,84,55,2,0,0,0
7600,200,23,58,82,51,9,0,0,0

aggregate_total_predictions,10000
periods_evaluated,50
aggregate_blue_matches,612
agg_red_matches_0,2705
agg_red_matches_1,4379
agg_red_matches_2,2379
agg_red_matches_3,505
agg_red_matches_4,31
agg_red_matches_5,1
agg_red_matches_6,0
