period,pred_count,blue_matches,red0,red1,red2,red3,red4,red5,red6
7551,200,6,42,73,65,20,0,0,0
7552,200,15,76,85,33,6,0,0,0
7553,200,0,47,87,55,11,0,0,0
7554,200,16,41,79,68,12,0,0,0
7555,200,17,58,92,41,8,1,0,0
7556,200,10,54,81,52,12,1,0,0
7557,200,4,59,92,44,5,0,0,0
7558,200,17,61,90,43,5,1,0,0
7559,200,20,46,101,44,9,0,0,0
7560,200,0,50,92,49,8,1,0,0
7561,200,9,62,93,37,6,2,0,0
7562,200,16,42,77,67,13,1,0,0
7563,200,6,64,85,43,8,0,0,0
7564,200,7,65,88,38,8,1,0,0
7565,200,19,39,76,71,13,1,0,0
7566,200,5,88,81,24,7,0,0,0
7567,200,18,47,103,43,7,0,0,0
7568,200,12,93,87,18,2,0,0,0
7569,200,15,51,84,50,14,1,0,0
7570,200,10,64,82,44,10,0,0,0
7571,200,6,52,73,56,15,4,0,0
7572,200,8,56,93,46,4,1,0,0
7573,200,17,62,86,44,7,1,0,0
7574,200,5,79,94,22,4,1,0,0
7575,200,10,39,102,46,13,0,0,0
7576,200,11,40,98,49,12,1,0,0
7577,200,21,41,74,66,14,5,0,0
7578,200,17,57,91,41,11,0,0,0
7579,200,12,57,92,44,7,0,0,0
7580,200,14,57,97,39,7,0,0,0
7581,200,12,37,89,59,13,2,0,0
7582,200,11,21,79,68,28,4,0,0
7583,200,10,37,75,65,21,2,0,0
7584,200,9,73,85,38,4,0,0,0
7585,200,26,42,88,53,15,2,0,0
7586,200,21,31,78,68,21,2,0,0
7587,200,2,43,89,62,5,1,0,0
7588,200,8,43,90,52,13,2,0,0
7589,200,11,53,96,43,7,1,0,0
7590,200,12,23,93,63,19,2,0,0
7591,200,18,61,88,37,10,4,0,0
7592,200,20,39,85,56,19,1,0,0
7593,200,21,76,92,30,2,0,0,0
7594,200,11,44,91,50,12,3,0,0
7595,200,23,41,91,57,11,0,0,0
7596,200,12,43,94,52,11,0,0,0
7597,200,33,43,103,44,8,2,0,0
7598,200,13,46,82,60,11,1,0,0
7599,200,8,74,92,30,4,0,0,0
7600,200,20,51,87,52,9,1,0,0

aggregate_total_predictions,10000
periods_evaluated,50
aggregate_blue_matches,644
agg_red_matches_0,2610
agg_red_matches_1,4395
agg_red_matches_2,2421
agg_red_matches_3,521
agg_red_matches_4,53
agg_red_matches_5,0
agg_red_matches_6,0
