round,period,method,total,blue_hits,full_hits,best_weights
1,2025130,xiaoliuyao,1000,37,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
1,2025130,xiaoliuren,1000,29,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
1,2025130,qimen,1000,68,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
1,2025130,ziwei,1000,40,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
1,2025130,ai_fusion,1000,42,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
1,2025130,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
12,2025130,xiaoliuyao,1000,37,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
12,2025130,xiaoliuren,1000,43,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
12,2025130,qimen,1000,58,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
12,2025130,ziwei,1000,26,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
12,2025130,ai_fusion,1000,40,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
12,2025130,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
2,2025130,xiaoliuyao,1000,27,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
2,2025130,xiaoliuren,1000,36,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
2,2025130,qimen,1000,52,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
2,2025130,ziwei,1000,28,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
2,2025130,ai_fusion,1000,45,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
2,2025130,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
3,2025130,xiaoliuyao,1000,39,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
3,2025130,xiaoliuren,1000,21,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
3,2025130,qimen,1000,58,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
3,2025130,ziwei,1000,37,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
3,2025130,ai_fusion,1000,40,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
3,2025130,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
4,2025130,xiaoliuyao,1000,33,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
4,2025130,xiaoliuren,1000,30,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
