rank,reds,count
1,"5,9,10,16,27,28",1
2,"4,5,8,11,16,27",1
3,"2,11,13,16,18,23",1
4,"2,8,10,19,26,28",1
5,"3,5,10,15,16,33",1
6,"5,9,19,24,30,31",1
7,"1,3,4,9,15,16",1
8,"3,9,17,24,26,32",1
9,"2,17,18,21,24,27",1
10,"1,15,25,26,30,32",1
11,"6,11,21,24,25,28",1
12,"12,14,24,27,31,32",1
13,"7,18,25,26,28,29",1
14,"11,16,17,21,26,30",1
15,"1,6,8,16,22,28",1
16,"8,10,15,17,23,33",1
17,"9,14,15,17,22,25",1
18,"4,7,11,24,28,33",1
19,"6,9,10,25,28,29",1
20,"12,21,22,30,31,32",1
21,"5,15,16,27,30,33",1
22,"1,19,20,22,26,28",1
23,"2,4,25,26,32,33",1
24,"2,7,19,22,28,32",1
25,"10,14,16,23,27,29",1
26,"6,10,11,13,18,23",1
27,"8,9,11,28,31,32",1
28,"9,13,18,28,31,33",1
29,"9,12,14,17,25,31",1
30,"5,7,12,15,29,30",1
31,"3,5,12,24,30,32",1
32,"1,12,16,28,29,32",1
33,"9,16,19,26,31,32",1
34,"2,3,4,14,15,23",1
35,"1,3,13,16,22,25",1
36,"3,11,14,22,29,30",1
37,"6,10,13,16,21,22",1
38,"5,19,24,26,31,33",1
39,"2,5,6,18,23,30",1
40,"14,18,22,25,31,33",1
41,"1,4,6,11,14,15",1
42,"2,7,9,14,18,25",1
43,"7,17,26,28,31,32",1
44,"1,12,22,27,29,33",1
45,"1,5,12,14,18,21",1
46,"9,11,22,26,31,32",1
47,"2,5,7,23,29,32",1
48,"5,10,12,17,18,32",1
49,"3,4,8,15,26,31",1
50,"4,7,14,18,20,33",1
51,"6,11,13,16,21,33",1
52,"8,9,17,18,26,31",1
53,"7,17,22,27,28,31",1
54,"5,7,11,14,16,30",1
55,"3,7,9,10,19,25",1
56,"1,3,11,19,32,33",1
57,"7,15,18,26,28,33",1
58,"1,5,7,10,14,32",1
59,"3,9,16,18,19,32",1
60,"3,19,20,28,29,30",1
61,"6,12,14,26,28,31",1
62,"2,3,8,23,26,33",1
63,"12,15,17,20,21,32",1
64,"15,16,18,19,20,25",1
65,"5,9,16,18,22,26",1
66,"2,7,11,18,21,27",1
67,"1,2,6,17,19,30",1
68,"4,9,18,27,28,33",1
69,"5,6,9,11,18,21",1
70,"1,2,5,6,18,19",1
71,"2,4,7,26,27,28",1
72,"2,3,8,9,16,27",1
73,"1,7,17,27,30,32",1
74,"1,6,8,23,25,30",1
75,"6,6,8,13,22,30",1
76,"19,21,28,30,31,32",1
77,"4,6,11,27,28,30",1
78,"2,14,21,22,28,31",1
79,"7,10,14,23,32,33",1
80,"7,9,10,14,16,20",1
81,"11,15,21,27,30,33",1
82,"2,3,15,20,23,32",1
83,"10,15,26,30,32,33",1
84,"1,9,20,21,32,33",1
85,"2,4,18,24,25,31",1
86,"7,16,21,23,27,28",1
87,"5,7,19,25,26,27",1
88,"5,8,10,21,28,31",1
89,"8,15,16,25,27,32",1
90,"4,5,27,30,32,33",1
91,"8,9,18,23,25,30",1
92,"2,12,13,25,30,33",1
93,"1,13,19,22,25,33",1
94,"8,17,21,23,26,28",1
95,"3,12,18,22,30,32",1
96,"2,14,23,25,29,30",1
97,"6,7,17,26,29,32",1
98,"2,11,15,27,32,33",1
99,"2,8,9,22,32,33",1
100,"2,8,15,26,31,33",1
101,"1,6,11,12,30,33",1
102,"4,6,13,15,27,32",1
103,"1,2,5,10,18,26",1
104,"11,13,19,22,23,32",1
105,"3,9,16,18,19,26",1
106,"1,10,17,24,28,31",1
107,"8,9,10,20,31,33",1
108,"15,19,22,24,26,33",1
109,"3,4,6,15,28,33",1
110,"3,9,10,11,18,25",1
111,"4,13,14,18,21,29",1
112,"2,3,8,9,20,28",1
113,"1,4,10,19,22,31",1
114,"4,18,22,23,24,26",1
115,"3,11,12,13,19,23",1
116,"1,6,11,14,16,29",1
117,"8,9,10,12,18,28",1
118,"4,12,13,20,24,25",1
119,"4,6,9,18,25,33",1
120,"3,7,8,14,19,33",1
121,"11,22,25,31,32,33",1
122,"2,3,11,20,26,30",1
123,"2,3,15,22,29,31",1
124,"7,9,11,16,20,26",1
125,"5,6,9,17,31,32",1
126,"1,4,9,14,21,32",1
127,"4,15,25,28,32,33",1
128,"5,8,18,20,28,30",1
129,"1,2,4,11,12,24",1
130,"7,19,22,24,27,30",1
131,"3,9,16,21,30,33",1
132,"1,6,9,18,22,30",1
133,"4,7,8,9,26,29",1
134,"9,17,18,24,26,29",1
135,"2,9,11,13,21,27",1
136,"10,13,15,21,23,32",1
137,"1,10,13,15,25,30",1
138,"1,2,11,22,30,31",1
139,"8,14,15,20,23,31",1
140,"1,2,13,16,17,31",1
141,"4,10,11,13,14,19",1
142,"3,4,17,20,24,31",1
143,"3,10,12,14,21,25",1
144,"1,9,14,17,20,30",1
145,"16,18,21,26,29,32",1
146,"1,11,13,20,24,26",1
147,"3,5,6,12,17,20",1
148,"5,7,14,20,28,30",1
149,"2,13,16,18,27,33",1
150,"3,17,26,28,31,32",1
151,"10,11,15,16,19,32",1
152,"4,15,18,23,27,28",1
153,"11,20,24,27,28,31",1
154,"2,3,9,20,27,30",1
155,"2,8,9,13,24,33",1
156,"11,15,16,19,20,31",1
157,"4,5,9,14,15,22",1
158,"2,6,9,10,17,27",1
159,"2,10,13,19,29,30",1
160,"6,14,23,28,32,33",1
161,"1,6,7,14,16,16",1
162,"5,7,8,13,22,32",1
163,"2,6,11,14,18,20",1
164,"18,19,20,22,23,27",1
165,"4,7,16,21,26,31",1
166,"3,6,18,25,30,31",1
167,"2,10,15,24,25,32",1
168,"2,9,11,15,18,22",1
169,"7,8,14,19,31,32",1
170,"9,17,20,22,28,32",1
171,"2,4,10,26,28,30",1
172,"1,2,5,8,13,32",1
173,"5,15,18,20,31,32",1
174,"1,5,9,14,23,32",1
175,"3,7,17,21,26,28",1
176,"4,6,13,21,30,31",1
177,"8,12,18,23,26,33",1
178,"5,7,8,15,23,26",1
179,"6,12,15,25,30,32",1
180,"1,3,6,14,27,32",1
181,"3,5,9,15,29,33",1
182,"6,10,11,13,16,33",1
183,"2,4,14,25,27,33",1
184,"1,10,12,17,30,33",1
185,"2,10,18,25,30,32",1
186,"6,7,12,13,24,32",1
187,"2,5,16,22,29,31",1
188,"4,11,19,26,29,30",1
189,"9,14,19,22,30,33",1
190,"5,10,13,22,28,29",1
191,"8,14,15,23,25,33",1
192,"8,9,10,17,32,33",1
193,"3,5,8,13,22,26",1
194,"13,18,20,25,28,29",1
195,"1,6,8,18,21,30",1
196,"11,12,17,22,24,29",1
197,"5,7,10,20,22,28",1
198,"3,5,13,14,17,30",1
199,"11,15,16,20,30,32",1
200,"5,8,9,14,26,33",1
