rank,reds,count
1,"3,9,14,20,26,28",2
2,"8,12,14,20,27,31",2
3,"2,6,13,22,27,29",1
4,"1,6,9,15,22,25",1
5,"7,12,13,18,22,29",1
6,"1,7,12,18,25,27",1
7,"2,3,12,18,24,33",1
8,"1,4,9,12,21,28",1
9,"2,9,15,19,26,28",1
10,"6,13,17,23,28,32",1
11,"3,5,12,18,23,31",1
12,"5,7,14,22,24,30",1
13,"4,8,18,20,28,31",1
14,"9,10,18,24,27,28",1
15,"2,4,9,10,13,21",1
16,"6,10,18,20,24,26",1
17,"2,9,12,15,24,31",1
18,"6,9,11,13,24,25",1
19,"4,12,16,19,23,33",1
20,"9,10,13,21,26,33",1
21,"1,3,11,14,15,25",1
22,"4,9,16,19,31,33",1
23,"3,18,22,26,29,31",1
24,"5,6,10,16,22,32",1
25,"6,9,12,16,22,24",1
26,"3,7,13,15,19,26",1
27,"2,9,15,16,23,26",1
28,"3,16,18,19,22,29",1
29,"3,4,11,14,24,31",1
30,"1,7,13,23,29,30",1
31,"1,11,15,16,26,32",1
32,"3,10,16,17,28,33",1
33,"4,10,14,24,26,31",1
34,"3,12,16,21,28,30",1
35,"3,10,12,13,23,25",1
36,"2,5,9,14,20,30",1
37,"5,15,16,18,20,28",1
38,"1,5,12,23,30,32",1
39,"1,11,12,17,19,30",1
40,"4,5,7,21,31,33",1
41,"4,14,20,23,27,33",1
42,"1,12,19,21,25,30",1
43,"4,9,13,22,31,32",1
44,"5,7,8,19,25,33",1
45,"7,8,13,20,23,28",1
46,"5,6,9,15,20,23",1
47,"1,10,17,19,31,33",1
48,"1,9,13,14,25,32",1
49,"3,15,17,19,24,25",1
50,"6,7,11,16,18,33",1
51,"1,3,7,13,18,24",1
52,"12,14,16,17,19,27",1
53,"2,6,12,14,17,28",1
54,"4,9,19,25,29,32",1
55,"2,3,11,16,22,27",1
56,"1,8,9,21,24,30",1
57,"5,12,14,23,25,27",1
58,"4,10,16,22,24,33",1
59,"7,9,18,21,24,26",1
60,"2,11,15,16,24,29",1
61,"4,12,16,24,25,29",1
62,"5,12,14,17,21,31",1
63,"6,8,12,15,16,29",1
64,"4,7,8,17,22,33",1
65,"2,11,16,17,18,22",1
66,"1,3,8,13,19,28",1
67,"1,3,14,19,20,30",1
68,"2,9,13,17,19,27",1
69,"5,11,18,20,27,30",1
70,"3,12,14,19,28,31",1
71,"1,17,21,23,27,33",1
72,"3,6,7,12,24,26",1
73,"5,8,21,23,31,32",1
74,"5,7,15,21,23,28",1
75,"2,7,8,9,14,24",1
76,"5,7,14,15,23,30",1
77,"11,16,22,25,27,32",1
78,"1,6,9,15,24,28",1
79,"2,8,16,22,23,33",1
80,"3,5,9,13,17,22",1
81,"2,8,18,19,22,25",1
82,"4,5,15,24,26,28",1
83,"2,3,7,19,21,27",1
84,"5,12,14,17,19,20",1
85,"3,10,19,26,32,33",1
86,"9,10,17,24,26,29",1
87,"4,9,12,18,20,31",1
88,"6,10,18,20,25,26",1
89,"6,8,10,15,20,28",1
90,"3,6,8,14,16,20",1
91,"2,4,8,14,15,20",1
92,"4,7,18,21,25,31",1
93,"1,9,14,25,28,32",1
94,"3,6,7,8,23,29",1
95,"4,11,17,18,23,26",1
96,"1,2,10,15,22,27",1
97,"1,12,13,16,18,20",1
98,"11,14,20,23,27,30",1
99,"2,5,8,16,24,27",1
100,"2,5,7,12,14,22",1
101,"12,18,19,20,30,31",1
102,"1,10,18,20,22,26",1
103,"1,9,16,19,25,26",1
104,"5,7,12,14,18,25",1
105,"10,13,19,26,27,33",1
106,"3,4,7,18,24,25",1
107,"1,2,12,17,24,30",1
108,"6,17,21,22,30,31",1
109,"12,14,23,27,30,32",1
110,"7,12,16,17,21,31",1
111,"1,11,20,24,31,32",1
112,"8,10,18,22,24,31",1
113,"8,17,22,23,26,29",1
114,"9,11,15,18,21,25",1
115,"2,14,16,20,23,27",1
116,"1,7,13,21,26,33",1
117,"1,16,23,24,30,32",1
118,"12,16,23,25,27,33",1
119,"2,7,9,21,30,31",1
120,"3,9,11,15,19,25",1
121,"1,11,14,24,26,32",1
122,"3,8,17,18,21,25",1
123,"5,9,13,19,23,24",1
124,"2,9,13,17,23,30",1
125,"1,4,8,18,28,32",1
126,"1,11,15,22,23,26",1
127,"4,12,18,19,28,32",1
128,"1,11,16,19,23,31",1
129,"1,8,23,24,26,33",1
130,"8,13,16,23,24,29",1
131,"4,11,13,14,21,25",1
132,"1,6,7,8,24,25",1
133,"2,3,7,11,18,22",1
134,"1,12,15,18,22,28",1
135,"2,5,9,14,20,26",1
136,"4,7,12,13,24,32",1
137,"2,14,15,23,24,32",1
138,"5,6,7,13,20,29",1
139,"3,4,9,19,21,27",1
140,"5,15,18,20,24,25",1
141,"1,6,13,14,24,31",1
142,"2,10,13,18,23,26",1
143,"1,12,14,21,25,32",1
144,"3,10,11,16,21,30",1
145,"1,12,15,16,21,25",1
146,"11,12,14,17,24,29",1
147,"3,17,18,23,29,33",1
148,"3,11,19,29,30,32",1
149,"4,5,8,13,18,19",1
150,"4,11,15,21,28,31",1
151,"1,2,13,18,22,32",1
152,"6,9,23,26,29,30",1
153,"2,8,11,13,15,33",1
154,"4,8,10,16,19,21",1
155,"1,8,19,20,23,28",1
156,"3,12,18,21,30,33",1
157,"6,10,12,13,25,32",1
158,"1,9,10,24,26,28",1
159,"6,9,14,20,24,33",1
160,"1,2,11,16,18,24",1
161,"1,7,15,18,23,25",1
162,"5,8,13,16,20,26",1
163,"10,15,16,20,29,33",1
164,"4,7,10,15,22,28",1
165,"12,15,18,19,21,26",1
166,"6,10,15,16,26,28",1
167,"9,14,19,23,24,25",1
168,"7,8,16,19,27,28",1
169,"1,4,16,20,22,32",1
170,"5,7,9,16,19,30",1
171,"1,10,13,14,18,27",1
172,"11,16,17,23,25,26",1
173,"3,5,10,13,19,28",1
174,"3,6,7,15,21,27",1
175,"4,7,8,17,30,32",1
176,"6,15,16,22,29,33",1
177,"3,4,10,21,23,31",1
178,"2,8,14,16,21,29",1
179,"4,14,16,20,25,31",1
180,"5,11,13,16,21,29",1
181,"4,12,13,20,22,32",1
182,"5,9,14,19,28,32",1
183,"1,15,17,20,26,32",1
184,"4,10,16,22,25,30",1
185,"12,15,16,18,19,26",1
186,"6,14,16,20,22,27",1
187,"1,7,11,14,21,32",1
188,"5,6,12,20,21,29",1
189,"2,7,12,19,25,29",1
190,"5,12,13,19,22,30",1
191,"10,12,18,20,25,32",1
192,"2,10,11,17,18,26",1
193,"3,6,7,9,22,29",1
194,"1,8,14,17,22,31",1
195,"6,8,12,20,28,29",1
196,"5,10,15,17,25,33",1
197,"2,3,6,16,22,33",1
198,"8,10,15,23,27,31",1
199,"3,5,7,12,24,28",1
200,"3,8,18,19,22,25",1
