rank,reds,count
1,"10,11,15,20,26,31",1
2,"7,12,13,16,24,31",1
3,"16,19,24,25,26,33",1
4,"5,6,11,14,30,33",1
5,"6,8,9,21,24,27",1
6,"1,16,17,18,19,20",1
7,"1,10,12,19,20,33",1
8,"1,17,20,22,24,25",1
9,"4,13,18,23,24,31",1
10,"13,17,19,22,28,32",1
11,"6,11,16,18,29,31",1
12,"6,7,11,17,18,32",1
13,"5,6,23,28,30,33",1
14,"4,7,10,17,19,30",1
15,"3,4,8,15,18,27",1
16,"1,9,10,18,21,32",1
17,"2,11,12,14,17,19",1
18,"3,9,13,14,16,20",1
19,"1,6,10,13,26,33",1
20,"12,17,18,19,23,28",1
21,"2,10,11,13,25,28",1
22,"6,8,11,18,19,31",1
23,"1,8,9,24,26,29",1
24,"3,8,11,18,29,32",1
25,"3,6,15,22,24,31",1
26,"11,12,17,24,25,26",1
27,"3,9,11,18,20,24",1
28,"5,18,19,24,28,33",1
29,"2,11,12,13,17,32",1
30,"8,11,16,20,23,27",1
31,"1,2,4,11,21,22",1
32,"21,24,29,30,31,32",1
33,"9,11,16,27,30,32",1
34,"9,10,16,21,27,32",1
35,"1,5,8,10,18,25",1
36,"1,2,9,24,27,28",1
37,"3,10,18,23,24,25",1
38,"1,3,6,8,19,24",1
39,"5,11,12,18,22,27",1
40,"3,4,5,8,9,18",1
41,"5,11,20,26,27,30",1
42,"1,4,13,14,30,33",1
43,"6,12,16,17,21,23",1
44,"1,8,11,12,21,30",1
45,"10,11,13,16,28,33",1
46,"4,16,25,29,32,33",1
47,"1,18,23,24,30,33",1
48,"8,9,16,17,22,29",1
49,"14,19,21,24,26,33",1
50,"2,3,4,12,17,21",1
51,"8,11,17,22,27,30",1
52,"3,9,11,20,24,28",1
53,"7,9,13,20,26,28",1
54,"7,12,14,17,18,21",1
55,"5,6,7,9,16,22",1
56,"4,9,15,16,18,21",1
57,"1,8,10,17,26,33",1
58,"6,7,15,18,20,31",1
59,"9,11,13,16,18,30",1
60,"4,7,12,15,20,27",1
61,"3,6,10,23,30,33",1
62,"3,7,8,11,14,16",1
63,"12,16,23,27,30,33",1
64,"6,15,18,23,24,31",1
65,"6,7,8,19,24,29",1
66,"9,10,11,26,29,32",1
67,"4,9,13,23,24,26",1
68,"4,7,13,16,30,31",1
69,"14,15,17,18,24,33",1
70,"2,3,7,18,21,30",1
71,"5,8,13,17,18,20",1
72,"2,7,12,13,14,15",1
73,"5,7,16,18,32,33",1
74,"1,11,20,23,26,28",1
75,"1,5,6,11,26,30",1
76,"4,19,20,22,27,31",1
77,"4,14,16,25,27,31",1
78,"5,6,15,22,23,28",1
79,"3,4,9,24,25,30",1
80,"4,7,14,18,21,27",1
81,"1,2,10,15,32,33",1
82,"3,4,5,12,14,31",1
83,"2,5,16,26,31,33",1
84,"2,3,6,17,19,20",1
85,"5,12,19,22,30,33",1
86,"3,8,15,20,22,23",1
87,"4,7,10,12,17,21",1
88,"5,14,18,28,29,31",1
89,"4,12,23,24,27,29",1
90,"16,21,26,27,30,33",1
91,"1,2,7,8,12,27",1
92,"1,5,6,12,13,32",1
93,"1,5,22,23,24,28",1
94,"1,4,8,23,26,27",1
95,"6,9,13,16,19,22",1
96,"5,8,19,22,25,30",1
97,"6,11,15,18,19,30",1
98,"4,10,15,23,27,30",1
99,"10,15,18,23,24,33",1
100,"2,18,19,20,27,31",1
101,"7,15,16,18,22,29",1
102,"2,9,24,25,26,33",1
103,"6,13,17,22,27,30",1
104,"1,4,7,11,20,30",1
105,"8,13,18,19,26,29",1
106,"2,7,8,16,17,33",1
107,"2,21,22,23,26,31",1
108,"2,6,19,23,24,33",1
109,"3,5,11,16,20,30",1
110,"5,14,15,20,28,31",1
111,"6,7,13,24,32,33",1
112,"16,17,19,21,24,30",1
113,"11,13,14,24,25,26",1
114,"15,16,26,29,32,33",1
115,"20,21,23,25,26,30",1
116,"7,11,16,18,24,29",1
117,"3,10,18,21,26,29",1
118,"4,14,19,20,21,29",1
119,"10,11,15,23,28,32",1
120,"9,14,17,20,27,30",1
121,"2,17,22,23,28,33",1
122,"15,16,17,20,28,31",1
123,"8,16,21,23,25,28",1
