rank,reds,count
1,"9,14,15,18,19,33",2
2,"1,3,7,18,31,32",1
3,"5,8,11,26,29,31",1
4,"2,4,18,24,27,33",1
5,"10,15,19,24,29,31",1
6,"6,8,26,27,30,33",1
7,"5,8,12,15,21,31",1
8,"1,4,16,23,26,33",1
9,"2,4,11,16,22,33",1
10,"4,12,15,18,19,28",1
11,"4,8,9,22,23,30",1
12,"11,13,16,28,29,30",1
13,"10,12,17,19,22,28",1
14,"6,15,16,18,26,32",1
15,"8,13,14,17,20,27",1
16,"2,9,13,15,16,31",1
17,"5,9,11,25,27,30",1
18,"10,13,16,17,19,28",1
19,"2,14,16,28,31,33",1
20,"9,10,24,27,30,32",1
21,"2,3,11,12,31,33",1
22,"14,15,18,26,31,32",1
23,"2,10,26,27,28,33",1
24,"2,4,9,19,23,27",1
25,"5,11,14,15,26,31",1
26,"2,8,12,18,21,31",1
27,"14,15,16,18,23,26",1
28,"4,8,10,16,17,31",1
29,"5,18,20,23,27,30",1
30,"2,4,8,10,15,33",1
31,"7,8,10,22,28,30",1
32,"3,7,10,15,19,33",1
33,"4,11,18,26,28,32",1
34,"15,23,24,28,29,30",1
35,"10,11,19,30,32,33",1
36,"12,13,19,23,27,31",1
37,"2,4,10,15,19,31",1
38,"3,5,8,18,19,26",1
39,"6,9,26,30,31,33",1
40,"5,9,13,19,27,32",1
41,"11,19,26,27,30,32",1
42,"15,16,18,22,26,29",1
43,"3,20,26,27,31,33",1
44,"1,8,12,19,28,29",1
45,"5,9,11,14,18,25",1
46,"4,12,17,27,28,30",1
47,"2,3,5,11,18,32",1
48,"2,3,9,24,30,31",1
49,"2,4,10,22,25,31",1
50,"3,5,11,16,23,33",1
51,"9,11,15,22,30,33",1
52,"4,8,10,18,25,26",1
53,"3,8,10,23,31,32",1
54,"5,9,18,24,31,32",1
55,"7,19,20,24,32,33",1
56,"3,8,15,19,24,26",1
57,"2,10,15,18,19,28",1
58,"2,3,10,23,28,33",1
59,"3,4,10,11,21,30",1
60,"3,4,9,16,22,33",1
61,"10,16,28,30,31,32",1
62,"1,7,9,17,18,24",1
63,"5,10,18,27,32,33",1
64,"3,5,9,15,16,22",1
65,"3,5,7,10,18,26",1
66,"3,5,12,16,31,33",1
67,"4,6,7,8,13,26",1
68,"5,10,18,26,28,33",1
69,"16,26,27,28,31,33",1
