period,blue_weight,best_weights,avg_target
2025130,1,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025130,2,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025130,3,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025130,4,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025131,1,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025131,2,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025131,3,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025131,4,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025132,1,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025132,2,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025132,3,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025132,4,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025133,1,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025133,2,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025133,3,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025133,4,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025134,1,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025134,2,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025134,3,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
2025134,4,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}",None
