window,model,total,red_hit,blue_hit,full_hit,red_rate,blue_rate,full_rate
100,ai_fusion,100,119,4,0,0.198333,0.04,0.0
100,liuren,100,110,6,0,0.183333,0.06,0.0
100,liuyao,100,108,4,0,0.18,0.04,0.0
100,qimen,100,102,9,0,0.17,0.09,0.0
100,ziwei,100,109,6,0,0.181667,0.06,0.0
500,ai_fusion,500,551,31,0,0.183667,0.062,0.0
500,liuren,500,552,39,0,0.184,0.078,0.0
500,liuyao,500,530,41,0,0.176667,0.082,0.0
500,qimen,500,581,35,0,0.193667,0.07,0.0
500,ziwei,500,531,25,0,0.177,0.05,0.0
1000,ai_fusion,1000,1104,59,0,0.184,0.059,0.0
1000,liuren,1000,1099,71,0,0.183167,0.071,0.0
1000,liuyao,1000,1044,67,0,0.174,0.067,0.0
1000,qimen,1000,1147,66,0,0.191167,0.066,0.0
1000,ziwei,1000,1071,54,0,0.1785,0.054,0.0
