期号,红1,红2,红3,红4,红5,红6,蓝
2023001,2,8,9,24,29,33,5
2023002,1,2,6,7,14,19,3
2023003,1,14,15,17,18,20,7
2023004,9,15,19,26,27,32,1
2023005,5,7,9,11,28,33,11
2023006,4,6,7,12,13,28,12
2023007,3,4,15,17,18,24,13
2023008,6,19,20,21,27,28,12
2023009,2,5,8,13,22,25,10
2023010,4,6,9,13,15,28,15
2023011,7,11,12,22,24,31,9
2023012,5,6,8,11,18,24,15
2023013,18,21,23,25,30,32,8
2023014,2,4,8,21,26,27,11
2023015,3,7,18,19,23,26,11
2023016,13,14,15,21,29,32,5
2023017,8,9,17,18,24,29,9
2023018,5,8,12,17,26,28,16
2023019,4,5,6,21,28,32,6
2023020,5,13,15,20,28,31,9
2023021,1,8,18,22,25,29,9
2023022,6,8,10,14,15,22,1
2023023,4,12,17,28,30,33,10
2023024,5,6,12,13,25,33,1
2023025,1,4,12,21,27,32,10
2023026,3,4,8,16,19,29,3
2023027,5,18,25,31,32,33,5
2023028,9,11,17,20,28,31,14
2023029,10,13,14,22,23,32,12
2023030,3,4,8,29,30,33,11
2023031,1,2,3,8,15,19,2
2023032,2,5,11,15,28,29,3
2023033,7,9,16,22,32,33,5
2023034,14,16,26,31,32,33,7
2023035,7,12,14,22,30,33,14
2023036,4,21,22,30,32,33,2
2023037,4,8,22,26,28,33,7
2023038,5,6,9,13,14,29,15
2023039,5,15,16,26,28,29,4
2023040,1,3,4,25,28,30,8
2023041,7,11,16,27,28,31,13
2023042,1,4,9,11,13,31,15
2023043,18,19,23,24,26,28,16
2023044,2,7,10,13,19,33,2
2023045,2,4,16,17,19,21,6
2023046,3,4,6,20,28,32,3
2023047,4,8,16,19,26,29,2
2023048,6,17,19,22,27,30,11
2023049,8,11,14,17,22,23,9
2023050,9,10,15,21,22,26,11
2023051,1,4,5,15,19,20,3
2023052,3,5,12,14,17,30,8
2023053,6,15,18,19,24,27,10
2023054,1,4,5,20,22,30,9
2023055,5,7,8,9,18,24,10
2023056,7,14,21,22,28,32,9
2023057,2,9,28,29,32,33,3
2023058,1,2,11,18,25,28,5
2023059,11,15,17,18,23,24,14
2023060,1,3,5,8,23,29,2
2023061,2,5,10,14,24,32,12
2023062,3,7,8,22,23,30,4
2023063,5,8,20,23,24,27,6
2023064,1,6,11,12,24,27,14
2023065,4,6,16,18,23,26,13
2023066,3,7,8,15,27,31,12
2023067,1,7,8,15,20,22,13
2023068,3,9,18,22,25,28,12
2023069,11,18,22,26,27,33,1
2023070,2,6,8,9,17,19,4
2023071,11,14,23,24,26,28,4
2023072,2,9,13,14,23,25,1
2023073,3,11,13,14,22,24,11
2023074,8,10,14,17,20,22,11
2023075,5,7,14,18,19,26,13
2023076,1,12,13,18,20,27,10
2023077,14,19,20,26,32,33,11
2023078,7,15,17,22,29,30,16
2023079,6,10,11,17,21,22,11
2023080,6,8,10,16,22,26,7
2023081,2,8,10,16,20,32,3
2023082,7,19,21,27,29,30,13
2023083,5,8,21,23,26,32,1
2023084,6,7,8,23,26,28,15
2023085,4,15,16,28,30,33,5
2023086,15,21,25,29,30,31,14
2023087,11,15,16,24,28,29,9
2023088,16,17,18,25,31,33,8
2023089,3,8,10,18,23,29,9
2023090,3,5,18,21,22,29,5
2023091,5,7,15,23,25,31,3
2023092,11,14,15,18,27,33,2
2023093,13,14,19,25,27,29,1
2023094,1,10,12,25,31,33,13
2023095,8,9,14,15,16,27,16
2023096,2,11,22,25,26,30,13
2023097,5,11,18,20,30,32,1
2023098,2,3,5,14,21,26,15
2023099,4,7,9,11,12,13,15
2023100,9,13,21,22,25,29,14
2023101,1,6,16,17,18,24,2
2023102,3,15,21,23,25,31,2
2023103,1,2,7,16,20,27,5
2023104,4,9,16,19,22,33,7
2023105,6,12,17,20,25,30,4
2023106,1,4,10,11,19,20,13
2023107,3,13,19,23,26,27,8
2023108,7,20,22,26,28,32,4
2023109,3,12,14,18,22,23,3
2023110,1,14,22,27,28,33,16
2023111,7,12,21,27,28,31,15
2023112,6,10,17,21,24,28,9
2023113,14,19,24,27,30,31,9
2023114,3,9,16,21,27,30,15
2023115,13,16,19,20,22,30,11
2023116,2,6,11,16,28,32,7
2023117,9,11,17,20,23,29,9
2023118,1,3,8,13,14,24,16
2023119,15,16,21,23,31,33,1
2023120,6,8,13,19,23,31,10
2023121,12,14,17,18,24,31,11
2023122,8,9,10,23,30,31,4
