期号,红1,红2,红3,红4,红5,红6,蓝,六爻1,六爻2,六爻3,六爻4,六爻5,六爻6
2023001,2,8,9,24,29,33,5,1,0,0,1,0,1
2023002,1,2,6,7,14,19,3,0,0,0,0,1,1
2023003,1,14,15,17,18,20,7,1,1,1,0,1,1
2023004,9,15,19,26,27,32,1,0,1,1,1,1,1
2023005,5,7,9,11,28,33,11,1,0,1,0,0,0
2023006,4,6,7,12,13,28,12,0,0,1,1,0,0
2023007,3,4,15,17,18,24,13,1,1,0,0,1,0
2023008,6,19,20,21,27,28,12,0,1,0,1,1,0
2023009,2,5,8,13,22,25,10,1,0,0,0,0,1
2023010,4,6,9,13,15,28,15,0,0,0,1,0,1
2023011,7,11,12,22,24,31,9,1,1,1,1,0,1
2023012,5,6,8,11,18,24,15,0,1,1,0,1,1
2023013,18,21,23,25,30,32,8,1,0,1,1,1,1
2023014,2,4,8,21,26,27,11,0,0,1,0,0,0
2023015,3,7,18,19,23,26,11,1,1,0,1,0,0
2023016,13,14,15,21,29,32,5,0,1,0,0,1,0
2023017,8,9,17,18,24,29,9,1,0,0,1,1,0
2023018,5,8,12,17,26,28,16,0,0,0,0,0,1
2023019,4,5,6,21,28,32,6,1,1,1,0,0,1
2023020,5,13,15,20,28,31,9,0,1,1,1,0,1
2023021,1,8,18,22,25,29,9,1,0,1,0,1,1
2023022,6,8,10,14,15,22,1,0,0,1,1,1,1
2023023,4,12,17,28,30,33,10,1,1,0,0,0,0
2023024,5,6,12,13,25,33,1,0,1,0,1,0,0
2023025,1,4,12,21,27,32,10,1,0,0,0,1,0
2023026,3,4,8,16,19,29,3,0,0,0,1,1,0
2023027,5,18,25,31,32,33,5,1,1,1,1,1,0
2023028,9,11,17,20,28,31,14,0,1,1,0,0,1
2023029,10,13,14,22,23,32,12,1,0,1,1,0,1
2023030,3,4,8,29,30,33,11,0,0,1,0,1,1
2023031,1,2,3,8,15,19,2,1,1,0,1,1,1
2023032,2,5,11,15,28,29,3,0,1,0,0,0,0
2023033,7,9,16,22,32,33,5,1,0,0,1,0,0
2023034,14,16,26,31,32,33,7,0,0,0,0,1,0
2023035,7,12,14,22,30,33,14,1,1,1,0,1,0
2023036,4,21,22,30,32,33,2,0,1,1,1,1,0
2023037,4,8,22,26,28,33,7,1,0,1,0,0,1
2023038,5,6,9,13,14,29,15,0,0,1,1,0,1
2023039,5,15,16,26,28,29,4,1,1,0,0,1,1
2023040,1,3,4,25,28,30,8,0,1,0,1,1,1
2023041,7,11,16,27,28,31,13,1,0,0,0,0,0
2023042,1,4,9,11,13,31,15,0,0,0,1,0,0
2023043,18,19,23,24,26,28,16,1,1,1,1,0,0
2023044,2,7,10,13,19,33,2,0,1,1,0,1,0
2023045,2,4,16,17,19,21,6,1,0,1,1,1,0
2023046,3,4,6,20,28,32,3,0,0,1,0,0,1
2023047,4,8,16,19,26,29,2,1,1,0,1,0,1
2023048,6,17,19,22,27,30,11,0,1,0,0,1,1
2023049,8,11,14,17,22,23,9,1,0,0,1,1,1
2023050,9,10,15,21,22,26,11,0,0,0,0,0,0
2023051,1,4,5,15,19,20,3,1,1,1,0,0,0
2023052,3,5,12,14,17,30,8,0,1,1,1,0,0
2023053,6,15,18,19,24,27,10,1,0,1,0,1,0
2023054,1,4,5,20,22,30,9,0,0,1,1,1,0
2023055,5,7,8,9,18,24,10,1,1,0,0,0,1
2023056,7,14,21,22,28,32,9,0,1,0,1,0,1
2023057,2,9,28,29,32,33,3,1,0,0,0,1,1
2023058,1,2,11,18,25,28,5,0,0,0,1,1,1
2023059,11,15,17,18,23,24,14,1,1,1,1,1,1
2023060,1,3,5,8,23,29,2,0,1,1,0,0,0
2023061,2,5,10,14,24,32,12,1,0,1,1,0,0
2023062,3,7,8,22,23,30,4,0,0,1,0,1,0
2023063,5,8,20,23,24,27,6,1,1,0,1,1,0
2023064,1,6,11,12,24,27,14,0,1,0,0,0,1
2023065,4,6,16,18,23,26,13,1,0,0,1,0,1
2023066,3,7,8,15,27,31,12,0,0,0,0,1,1
2023067,1,7,8,15,20,22,13,1,1,1,0,1,1
2023068,3,9,18,22,25,28,12,0,1,1,1,1,1
2023069,11,18,22,26,27,33,1,1,0,1,0,0,0
2023070,2,6,8,9,17,19,4,0,0,1,1,0,0
2023071,11,14,23,24,26,28,4,1,1,0,0,1,0
2023072,2,9,13,14,23,25,1,0,1,0,1,1,0
2023073,3,11,13,14,22,24,11,1,0,0,0,0,1
2023074,8,10,14,17,20,22,11,0,0,0,1,0,1
2023075,5,7,14,18,19,26,13,1,1,1,1,0,1
2023076,1,12,13,18,20,27,10,0,1,1,0,1,1
2023077,14,19,20,26,32,33,11,1,0,1,1,1,1
2023078,7,15,17,22,29,30,16,0,0,1,0,0,0
2023079,6,10,11,17,21,22,11,1,1,0,1,0,0
2023080,6,8,10,16,22,26,7,0,1,0,0,1,0
2023081,2,8,10,16,20,32,3,1,0,0,1,1,0
2023082,7,19,21,27,29,30,13,0,0,0,0,0,1
2023083,5,8,21,23,26,32,1,1,1,1,0,0,1
2023084,6,7,8,23,26,28,15,0,1,1,1,0,1
2023085,4,15,16,28,30,33,5,1,0,1,0,1,1
2023086,15,21,25,29,30,31,14,0,0,1,1,1,1
2023087,11,15,16,24,28,29,9,1,1,0,0,0,0
2023088,16,17,18,25,31,33,8,0,1,0,1,0,0
2023089,3,8,10,18,23,29,9,1,0,0,0,1,0
2023090,3,5,18,21,22,29,5,0,0,0,1,1,0
2023091,5,7,15,23,25,31,3,1,1,1,1,1,0
2023092,11,14,15,18,27,33,2,0,1,1,0,0,1
2023093,13,14,19,25,27,29,1,1,0,1,1,0,1
2023094,1,10,12,25,31,33,13,0,0,1,0,1,1
2023095,8,9,14,15,16,27,16,1,1,0,1,1,1
2023096,2,11,22,25,26,30,13,0,1,0,0,0,0
2023097,5,11,18,20,30,32,1,1,0,0,1,0,0
2023098,2,3,5,14,21,26,15,0,0,0,0,1,0
2023099,4,7,9,11,12,13,15,1,1,1,0,1,0
2023100,9,13,21,22,25,29,14,0,1,1,1,1,0
2023101,1,6,16,17,18,24,2,1,0,1,0,0,1
2023102,3,15,21,23,25,31,2,0,0,1,1,0,1
2023103,1,2,7,16,20,27,5,1,1,0,0,1,1
2023104,4,9,16,19,22,33,7,0,1,0,1,1,1
2023105,6,12,17,20,25,30,4,1,0,0,0,0,0
2023106,1,4,10,11,19,20,13,0,0,0,1,0,0
2023107,3,13,19,23,26,27,8,1,1,1,1,0,0
2023108,7,20,22,26,28,32,4,0,1,1,0,1,0
2023109,3,12,14,18,22,23,3,1,0,1,1,1,0
2023110,1,14,22,27,28,33,16,0,0,1,0,0,1
2023111,7,12,21,27,28,31,15,1,1,0,1,0,1
2023112,6,10,17,21,24,28,9,0,1,0,0,1,1
2023113,14,19,24,27,30,31,9,1,0,0,1,1,1
2023114,3,9,16,21,27,30,15,0,0,0,0,0,0
2023115,13,16,19,20,22,30,11,1,1,1,0,0,0
2023116,2,6,11,16,28,32,7,0,1,1,1,0,0
2023117,9,11,17,20,23,29,9,1,0,1,0,1,0
2023118,1,3,8,13,14,24,16,0,0,1,1,1,0
2023119,15,16,21,23,31,33,1,1,1,0,0,0,1
2023120,6,8,13,19,23,31,10,0,1,0,1,0,1
2023121,12,14,17,18,24,31,11,1,0,0,0,1,1
2023122,8,9,10,23,30,31,4,0,0,0,1,1,1
2023123,4,13,18,21,24,25,6,1,1,1,1,1,1
2023124,9,13,14,16,24,31,10,0,1,1,0,0,0
2023125,6,7,8,10,12,13,10,1,0,1,1,0,0
2023126,1,2,9,18,30,32,10,0,0,1,0,1,0
2023127,1,4,9,19,28,32,10,1,1,0,1,1,0
2023128,2,6,11,15,31,33,9,0,1,0,0,0,1
2023129,3,8,13,16,27,31,3,1,0,0,1,0,1
2023130,4,5,10,19,26,32,3,0,0,0,0,1,1
2023131,8,14,16,18,20,25,8,1,1,1,0,1,1
2023132,10,15,25,28,29,30,14,0,1,1,1,1,1
2023133,4,20,24,25,32,33,7,1,0,1,0,0,0
2023134,3,6,8,14,17,22,6,0,0,1,1,0,0
2023135,1,5,11,14,15,23,16,1,1,0,0,1,0
2023136,3,8,10,19,23,30,15,0,1,0,1,1,0
2023137,5,9,15,26,29,30,7,1,0,0,0,0,1
2023138,5,8,18,21,28,32,9,0,0,0,1,0,1
2023139,2,5,6,10,26,33,10,1,1,1,1,0,1
2023140,8,10,15,23,29,30,13,0,1,1,0,1,1
2023141,2,3,15,18,20,32,14,1,0,1,1,1,1
2023142,1,3,8,17,21,22,1,0,0,1,0,0,0
2023143,3,6,16,18,25,31,15,1,1,0,1,0,0
2023144,12,14,18,19,21,27,16,0,1,0,0,1,0
2023145,6,11,12,14,29,31,4,1,0,0,1,1,0
2023146,10,11,14,16,22,23,13,0,0,0,0,0,1
2023147,3,9,11,30,32,33,4,1,1,1,0,0,1
2023148,1,15,18,22,26,28,14,0,1,1,1,0,1
2023149,4,12,13,17,20,25,16,1,0,1,0,1,1
2023150,4,5,7,9,18,29,10,0,0,1,1,1,1
2023151,1,4,20,21,29,32,8,1,1,0,0,0,0
2023152,1,11,14,18,20,31,3,0,1,0,1,0,0
2023153,4,8,15,21,27,33,5,1,0,0,0,1,0
2023154,9,14,17,19,23,32,16,0,0,0,1,1,0
2023155,5,13,15,16,18,31,7,1,1,1,1,1,0
2023156,3,9,25,28,32,33,14,0,1,1,0,0,1
